file_id;child_age;target_word;guesser_type; speaker;original_text;auto_translation;manual_translation;missing_transcript;useful_context;is_dubious;is_relevant;validity_check;is_valid
ID_7;9;;; parent; Et là on y va pour de vrai là ?; And are we going there for real?;;;;;;;
ID_7;9;;; parent;C'est parti.; Let's go.;;;;;;;
ID_7;9;;; parent;Tu commences ?; You start ?;;;;;;;
ID_7;9;;; child;Ouais, ouais; Yeah yeah;;;;;;;
ID_7;9;;; parent;Allez vas-y je t'écoute.; Come on, I'll listen to you.;;;;;;;
ID_7;9;;; child;Donc je fais la question ou..; So I ask the question or...;;;;;;;
ID_7;9;;; parent;Non tu prends un mot dans ta tête et moi je te pose des questions.; No, you take a word in your head and I ask you questions.;;;;;;;
ID_7;9;;; child;OK; OK;;;;;;;
ID_7;9;A ball ; parent; parent;C'est bon t'es prêt ?; Okay, are you ready?;;;;;;;
ID_7;9;A ball ; parent; child;Ouais; Yeah;;;;;;;
ID_7;9;A ball ; parent; parent;Ok.; OK.;;;;;1;;
ID_7;9;A ball ; parent; parent;Est-ce que c'est un objet courant ?; Is this a common item?;;;;;1;;
ID_7;9;A ball ; parent; child;Non; No;;;;;1;1;0
ID_7;9;A ball ; parent; parent;Est-ce que c'est un animal ?; Is it an animal?;;;;;1;;
ID_7;9;A ball ; parent; child;Non; No;;;;;1;1;1
ID_7;9;A ball ; parent; parent;Est-ce que c'est... Est-ce qu'il y en a dans la maison ?; Is this... Are there any in the house?;;;;;1;;
ID_7;9;A ball ; parent; child;Euh, oui.; Um yes.;;;;;1;1;1
ID_7;9;A ball ; parent; parent;Oui.; Yes.;;;;;1;;
ID_7;9;A ball ; parent; parent;C'est quelque chose qui se mange ?; Is it something that can be eaten?;;;;;1;;
ID_7;9;A ball ; parent; child;Non; No;;;;;1;1;1
ID_7;9;A ball ; parent; parent; C'est un objet ?; Is it an object?;;;;;1;;
ID_7;9;A ball ; parent; child;Oui.; Yes.;;;;;1;1;1
ID_7;9;A ball ; parent; parent;Ok.; OK.;;;;;1;;
ID_7;9;A ball ; parent; parent;C'est un objet qu'on utilise à la cuisine ?; Is this something we use in the kitchen?;;;;;1;;
ID_7;9;A ball ; parent; child;Non.; No.;;;;;1;1;1
ID_7;9;A ball ; parent; parent;A la salle de bain ?; In the bathroom ?;;;;;1;;
ID_7;9;A ball ; parent; child;Non.; No.;;;;;1;1;1
ID_7;9;A ball ; parent; parent;Dans les chambres ?; In the rooms?;;;;;1;;
ID_7;9;A ball ; parent; child;Oui.; Yes.;;;;;1;1;1
ID_7;9;A ball ; parent; parent;Ça peut, mais pas que.; It can, but not only that.;;;;;1;;
ID_7;9;A ball ; parent; child;Ouais; Yeah;;;;;1;1;1
