file_id,child_age,target_word,guesser_type,speaker,original_text,auto_translation,manual_translation,missing_transcript,useful_context,is_dubious,is_relevant,validity_check,is_valid,initiate_repair,error_type,gemma:7b,mistral,llama3,phi3:medium,gpt4o,gpt4o:def,mistral-masked,mistral-fewshot
ID_3,7,A turtle,parent,(INV),"3, 2, 1... Action.","3, 2, 1... Action.",,,,,,,,,,,,,,,,,
ID_3,7,A turtle,parent,parent,"Vas-y, c'est toi qui commence.","Go ahead, you start.",,,,,,,,,,,,,,,,,
ID_3,7,A turtle,parent,child,Alors... C'est un animal...,So... It's an animal...,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,A turtle,parent,parent,"Un animal, ouais.","An animal, yeah.",,,,,1.0,,,,,,,,,,,,
ID_3,7,A turtle,parent,child,...qui est vert avec une carapace et qui marche lentement.,...which is green with a shell and walks slowly.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,A turtle,parent,parent,Une tortue.,A turtle.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A turtle,parent,parent,Ouais.,Yeah.,,,,,,,,,,,,,,,,,
ID_3,7,Eye glasses,child,parent,À moi.,To me.,,,,,,,,,,,,,,,,,
ID_3,7,Eye glasses,child,parent,Euh... Ça se porte sur le nez.,Uh... It's worn on the nose.,,,,,1.0,,,,,,,,,,,,
ID_3,7,Eye glasses,child,child,Des lunettes ?,Glasses ?,,,,,1.0,1.0,1.0,0.0,"1,6",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ID_3,7,Eye glasses,child,parent,Oui.,Yes.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A seal,parent,parent,À toi.,Yours.,,,,,,,,,,,,,,,,,
ID_3,7,A seal,parent,child,Euh...,Uh...,,,,,,,,,,,,,,,,,
ID_3,7,A seal,parent,child,C'est un animal marin qui a des dents qui poussent comme ça et une queue.,It's a marine animal that has teeth that grow like this and a tail.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,A seal,parent,parent,C'est dangereux ?,It's dangerous ?,,,,,1.0,,,,,,,,,,,,
ID_3,7,A seal,parent,child,"Pas trop, je ne sais pas.","Not too much, I don't know.",,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,A seal,parent,child,Et qui est gris.,And which is gray.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,A seal,parent,parent,Un requin ?,A shark ?,,,,,1.0,,,,,,,,,,,,
ID_3,7,A seal,parent,child,Non.,No.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,A seal,parent,parent,Un animal marin... Un orque ?,A marine animal... An orca?,,,,,1.0,,,,,,,,,,,,
ID_3,7,A seal,parent,child,Non.,No.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,A seal,parent,parent,Un phoque ?,A seal ?,,,,,1.0,,,,,,,,,,,,
ID_3,7,A seal,parent,child,Oui.,Yes.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,A book,child,parent,Euh...,Uh...,,,,,,,,,,,,,,,,,
ID_3,7,A book,child,parent,Ça s'ouvre.,It opens.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A book,child,parent,"Généralement, c'est rectangulaire.",Usually it is rectangular.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A book,child,child,"Ça veut dire quoi, un rectangle ?",What does a rectangle mean?,,,,,1.0,1.0,1.0,0.0,"1,5",1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
ID_3,7,A book,child,parent,C'est comme un rectangle.,It's like a rectangle.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A book,child,parent,C'est un rectangle.,It's a rectangle.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A book,child,parent,Et il y a des mots à l'intérieur.,And there are words inside.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A book,child,child,"C'est comment un rectangle, déjà ?",What is a rectangle again?,,,,,1.0,1.0,1.0,0.0,"1,5",1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
ID_3,7,A book,child,parent,"Un rectangle, c'est comme ça.",A rectangle is like that.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A book,child,child,Comme ça ?,Like that ?,,,,,1.0,,,,,,,,,,,,
ID_3,7,A book,child,parent,Comme ton porte-vue.,Like your viewport.,,,,1.0,1.0,,,,,,,,,,,,
ID_3,7,A book,child,child,OK.,OK.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A book,child,child,Ça veut dire un carré ?,Does that mean a square?,,,,,1.0,1.0,0.0,1.0,"1,3,4",1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ID_3,7,A book,child,parent,"Non, un rectangle.","No, a rectangle.",,,,,1.0,,,,,,,,,,,,
ID_3,7,A book,child,child,OK.,OK.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A book,child,parent,"Et dedans, il y a des mots.",And there are words inside.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A book,child,parent,"Et des fois, des images.","And sometimes, images.",,,,,1.0,,,,,,,,,,,,
ID_3,7,A book,child,child,Une pochette ?,A pocket ?,,,,,1.0,1.0,0.0,0.0,"1,4",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ID_3,7,A book,child,parent,Non.,No.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A book,child,child,Un enveloppe ?,An envelope?,,,,,1.0,1.0,1.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ID_3,7,A book,child,parent,Non.,No.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A book,child,parent,Ça raconte des histoires.,It tells stories.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A book,child,child,Un livre ?,A book ?,,,,,1.0,1.0,1.0,0.0,"1,6",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ID_3,7,A book,child,parent,"Oui, très bien.","Yes, very good.",,,,,1.0,,,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,"Attention, chéri.","Be careful, darling.",,,,,,,,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,À toi.,Yours.,,,,,,,,,,,,,,,,,
ID_3,7,A crocodile,parent,child,C'est un animal qui a des dents.,It's an animal that has teeth.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,Ouais,Yeah,,,,,1.0,,,,,,,,,,,,
ID_3,7,A crocodile,parent,child,Et qu'il y a une queue.,And there is a queue.,And there is a tail?,,,1.0,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,C'est un peu maigre comme info.,It's a bit thin on information.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A crocodile,parent,child,Et il est vert.,And it's green.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,"Qu'il y a des dents, qu'il y a une queue, qu'il est vert.","That it has teeth, that it has a tail, that it is green.",,,,,1.0,,,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,Il est gros ?,He's fat ?,,,,,1.0,,,,,,,,,,,,
ID_3,7,A crocodile,parent,child,Un peu.,A little.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,A crocodile,parent,child,Qu'il est comme ça.,That he is like that.,,,,,,,,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,"Non, ne te baisse pas !","No, don't duck!",,,,,,,,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,"Attends, on va vérifier que tout fonctionne bien.","Wait, let's check that everything is working fine.",,,,,,,,,,,,,,,,,
ID_3,7,A crocodile,parent,child,"Qui est à quatre pattes, comme ça.","Who is on all fours, like that.",,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,Qu'il y a 4 pattes.,That there are 4 legs.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,"Bah tu pouvais me dire juste qu'il y a 4 pattes, t'es pas obligé de te mettre à 4 pattes pour me le dire.","Well you could just tell me that there are 4 legs, you don't have to get on all 4 legs to tell me.",,,,,1.0,,,,,,,,,,,,
ID_3,7,A crocodile,parent,child,"Mais j'ai envie, j'ai envie ! C'est tout !","But I want it, I want it! That's all !",,,,,,,,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,"C'est bon, ça va ?","It's okay, are you okay?",,,,,,,,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,"[NAME-1], arrête !","[NAME-1], stop!",,,,,,,,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,"Allez, bouge plus.","Come on, move more.",,,,,,,,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,Bouge plus.,Move more.,,,,,,,,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,"Euh, donc qui a 4 pattes, qui est vert, et quoi ?","Um, so who has 4 legs, who is green, and what?",,,,,1.0,,,,,,,,,,,,
ID_3,7,A crocodile,parent,child,Qui a des dents pointues.,Who has sharp teeth.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,Et qu'il y a des dents pointues.,And there are sharp teeth.,,,,,1.0,,,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,Un dinosaure ?,A dinosaur ?,,,,,1.0,,,,,,,,,,,,
ID_3,7,A crocodile,parent,child,Non.,No.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,A crocodile,parent,parent,Un crocodile ?,A crocodile ?,,,,,1.0,,,,,,,,,,,,
ID_3,7,A crocodile,parent,child,Oui !,Yes !,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,The Sun,child,parent,Euh...,Uh...,,,,,,,,,,,,,,,,,
ID_3,7,The Sun,child,parent,Je brille dans le ciel.,I shine in the sky.,,,,,1.0,,,,,,,,,,,,
ID_3,7,The Sun,child,child,Mmh,Mmh,,,,,1.0,,,,,,,,,,,,
ID_3,7,The Sun,child,parent,Je brille dans le ciel.,I shine in the sky.,,,,,1.0,,,,,,,,,,,,
ID_3,7,The Sun,child,child,Mmh,Mmh,,,,,1.0,,,,,,,,,,,,
ID_3,7,The Sun,child,parent,Et je apporte de la chaleur.,And I bring warmth.,,,,,1.0,,,,,,,,,,,,
ID_3,7,The Sun,child,child,Du soleil.,Sun.,,,,,1.0,1.0,1.0,0.0,"1,6",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ID_3,7,The Sun,child,parent,Ouais.,Yeah.,,,,,1.0,,,,,,,,,,,,
ID_3,7,Laundry basket,parent,child,C'est un objet où je mets mes affaires sales dedans.,It's something I put my dirty stuff in.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,Laundry basket,parent,parent,Le panier à linge sale ?,The dirty laundry basket?,,,,,1.0,,,,,,,,,,,,
ID_3,7,Laundry basket,parent,child,[L'enfant hoche la tête],[The child nods],,,,,1.0,1.0,1.0,,,,,,,,,,
ID_3,7,Laundry basket,parent,parent,"Ok, euh...","Okay, uh...",,,,,,,,,,,,,,,,,
