file_id;child_age;target_word;guesser_type;speaker;original_text;auto_translation;manual_translation;missing_transcript;useful_context;is_dubious;is_relevant;validity_check;is_valid
ID_16;11;;; (Abdellah);3, 2, 1.; 3, 2, 1.;;;;;;;
ID_16;11;;; (Abdellah);Et après je vous laisse tranquille.; And then I'll leave you alone.;;;;;;;
ID_16;11;;; child;Je peux démarrer ?; Can I start?;;;;;;;
ID_16;11;;; parent;Vas-y si tu veux.; Go there if you want.;;;;;;;
ID_16;11;;; child;Euh, finalement, démarre, j'ai oublie mon mot; Uh, finally, start, I forgot my word;;;;;;;
ID_16;11;Slippers; child; parent;C'est moi qui demarre ? Ok, j'ai un mot.; Am I starting? Okay, I have a word.;;;;;1;;
ID_16;11;Slippers; child; child;Est-ce que c'est un objet ?; Is it an object?;;;;;1;;
ID_16;11;Slippers; child; parent;Oui.; Yes.;;;;;1;;
ID_16;11;Slippers; child; child;Oh, je n'aime pas les objets.; Oh, I don't like objects.;;;;;1;;
ID_16;11;Slippers; child; child;Est-ce que c'est... Ça sert à se déplacer ?; Is it... Is it used to get around?;;;;;1;1;1
ID_16;11;Slippers; child; parent;Non.; No.;;;;;1;;
ID_16;11;Slippers; child; child;Est-ce que ça sert à jouer ?; Is this for playing?;;;;;1;1;1
ID_16;11;Slippers; child; parent;Non.; No.;;;;;1;;
ID_16;11;Slippers; child; child; Est-ce que ça sert à travailler ?; Is it useful for work?;;;;;1;1;1
ID_16;11;Slippers; child; parent;Non.; No.;;;;;1;;
ID_16;11;Slippers; child; child;Est-ce que ça sert... T'as hésité avant de dire que ça servait pas à se dépenser.; Is it useful... You hesitated before saying that it wasn't useful for exercising.;;;;;1;1;1
ID_16;11;Slippers; child; parent;Ouais, mais tu comprendras pourquoi après, je pense.; Yeah, but you'll understand why later, I think.;;;;;1;;
ID_16;11;Slippers; child; parent;Ouais.; Yeah.;;;;;;;
ID_16;11;Slippers; child; child;Ok.; OK.;;;;;1;;
ID_16;11;Slippers; child; child;Est-ce que ça nous sert dans la vie de tous les jours ?; Does it help us in everyday life?;;;;;1;1;1
ID_16;11;Slippers; child; parent;Oui.; Yes.;;;;;1;;
ID_16;11;Slippers; child; child;Est-ce qu'on en a un chez nous ?; Do we have one at home?;;;;;1;1;1
ID_16;11;Slippers; child; parent;Oh oui.; Oh yes.;;;;;1;;
ID_16;11;Slippers; child; child;On en a plusieurs ?; Do we have several?;;;;;1;1;1
ID_16;11;Slippers; child; parent;Oui.; Yes.;;;;;1;;
ID_16;11;Slippers; child; child;Est-ce que ça sert à se préparer ?; Is this used to prepare?;;;;1;1;1;1
