file_id;child_age;target_word;original_target_word;guesser_type;speaker;original_text;auto_translation;manual_translation;missing_transcript;useful_context;is_dubious;is_relevant;validity_check;agreement;initiate_repair;error_type
ID_4;7;;;;(INV);Allez, 3, 2, 1, c'est parti !;Come on, 3, 2, 1, let's go!;;;;;;;;;
ID_4;7;;;;child;C'est bon, je ne vois pas quoi.;It's okay, I don't see what's wrong.;;;;;;;;;
ID_4;7;A drying rack;étendoir à linge;parent;parent;C'est bon ?;It's good ?;;;;;;;;;
ID_4;7;A drying rack;étendoir à linge;parent;child;Oui.;Yes.;;;;;;;;;
ID_4;7;A drying rack;étendoir à linge;parent;parent;Est-ce que ça se mange ?;Is it edible?;;;;;1.0;;;;
ID_4;7;A drying rack;étendoir à linge;parent;child;Non.;No.;;;;;1.0;1.0;;;
ID_4;7;A drying rack;étendoir à linge;parent;parent;Est-ce qu'il y en a dans la maison ?;Are there any in the house?;;;;;1.0;;;;
ID_4;7;A drying rack;étendoir à linge;parent;child;Oui.;Yes.;;;;;1.0;1.0;;;
ID_4;7;A drying rack;étendoir à linge;parent;parent;Est-ce qu'il y en a dans cette pièce ?;Are there any in this room?;;;;;1.0;;;;
ID_4;7;A drying rack;étendoir à linge;parent;child;Oui.;Yes.;;;;;1.0;1.0;;;
ID_4;7;A drying rack;étendoir à linge;parent;parent;Est-ce que ça affiche des choses ?;Does it display things?;;;;;1.0;;;;
ID_4;7;A drying rack;étendoir à linge;parent;child;Affiche des choses comme ?;Shows things like ?;;;;;1.0;1.0;;;
ID_4;7;A drying rack;étendoir à linge;parent;parent;Euh bah comme... Est-ce que ça affiche des images ?;Uh well like... Does it display images?;;;;;1.0;;;;
ID_4;7;A drying rack;étendoir à linge;parent;child;Non.;No.;;;;;1.0;1.0;;;
ID_4;7;A drying rack;étendoir à linge;parent;parent;Je crois que je vois où tu regardes.;I think I see where you're looking.;;;;;1.0;;;;
ID_4;7;A drying rack;étendoir à linge;parent;parent;Est-ce que ça permet de faire sécher des choses ?;Does it allow things to dry?;;;;;1.0;;;;
ID_4;7;A drying rack;étendoir à linge;parent;child;Oui !;Yes !;;;;;1.0;1.0;;;
ID_4;7;A drying rack;étendoir à linge;parent;parent;C'est un sèche-lin... Non, pas un sèche-lin, c'est un étendoir.;It's a linen dryer... No, not a linen dryer, it's a drying rack.;;;;;1.0;;;;
ID_4;7;A drying rack;étendoir à linge;parent;child;Oui.;Yes.;;;;;1.0;1.0;;;
ID_4;7;;;;parent;Allez, Paul.;Come on, Paul.;;;;;;;;;
ID_4;7;;;;child;À ton tour.;Your turn.;;;;;;;;;
ID_4;7;;;;parent;À mon tour.;My turn.;;;;;;;;;
ID_4;7;A teddy bear;un doudou;child;parent;Allez, c'est parti, à toi.;Come on, let's go, it's your turn.;;;;;;;;;
ID_4;7;A teddy bear;un doudou;child;child;Est-ce que c'est un animaux ?;Is it an animal?;;;;;1.0;;;;
ID_4;7;A teddy bear;un doudou;child;parent;Alors, un animal, on dit, oui, d'accord.;So, an animal, we say, yes, okay.;;;;;1.0;;;;
ID_4;7;A teddy bear;un doudou;child;parent;Non, ce n'est pas un animal.;No, it's not an animal.;;;;;1.0;;;;
ID_4;7;A teddy bear;un doudou;child;child;Un objet ?;An object ?;;;;;1.0;1.0;1.0;0.0;1
ID_4;7;A teddy bear;un doudou;child;parent;Oui.;Yes.;;;;;1.0;;;;
